2025-07-25 18:03:16.135 [info] Reading sessions from keychain...
2025-07-25 18:03:16.135 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.151 [info] Got stored sessions!
2025-07-25 18:03:16.151 [info] Got 1 verified sessions.
2025-07-25 18:03:16.151 [info] Got 1 sessions for ...
2025-07-25 18:03:16.151 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.151 [info] Got 1 sessions for ...
2025-07-25 18:03:16.151 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.151 [info] Got 1 sessions for ...
2025-07-25 18:03:16.151 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.151 [info] Got 1 sessions for ...
2025-07-25 18:03:16.151 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.151 [info] Got 1 sessions for ...
2025-07-25 18:03:16.151 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.151 [info] Got 1 sessions for ...
2025-07-25 18:03:16.151 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.151 [info] Got 1 sessions for ...
2025-07-25 18:03:16.160 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.160 [info] Got 1 sessions for ...
2025-07-25 18:03:16.160 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.160 [info] Got 1 sessions for ...
2025-07-25 18:03:16.161 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.161 [info] Got 1 sessions for ...
2025-07-25 18:03:16.161 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.161 [info] Got 1 sessions for ...
2025-07-25 18:03:16.161 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.161 [info] Got 1 sessions for ...
2025-07-25 18:03:16.161 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.161 [info] Got 1 sessions for ...
2025-07-25 18:03:16.259 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.259 [info] Got 1 sessions for ...
2025-07-25 18:03:16.386 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.386 [info] Got 1 sessions for ...
2025-07-25 18:03:16.481 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.481 [info] Got 1 sessions for ...
2025-07-25 18:03:16.513 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.513 [info] Got 1 sessions for ...
2025-07-25 18:03:16.574 [info] Getting sessions for all scopes...
2025-07-25 18:03:16.574 [info] Got 1 sessions for ...
2025-07-25 18:03:18.010 [info] Getting sessions for all scopes...
2025-07-25 18:03:18.010 [info] Got 1 sessions for ...
2025-07-25 18:03:18.010 [info] Getting sessions for all scopes...
2025-07-25 18:03:18.010 [info] Got 1 sessions for ...
2025-07-25 18:03:18.010 [info] Getting sessions for all scopes...
2025-07-25 18:03:18.010 [info] Got 1 sessions for ...
2025-07-25 18:03:18.010 [info] Getting sessions for all scopes...
2025-07-25 18:03:18.010 [info] Got 1 sessions for ...
2025-07-25 18:03:18.251 [info] Getting sessions for read:user,repo,user:email...
2025-07-25 18:03:18.251 [info] Got 0 sessions for read:user,repo,user:email...
2025-07-25 18:03:18.799 [info] Getting sessions for all scopes...
2025-07-25 18:03:18.799 [info] Got 1 sessions for ...
2025-07-25 18:03:34.168 [info] Getting sessions for all scopes...
2025-07-25 18:03:34.168 [info] Got 1 sessions for ...
2025-07-25 18:03:39.603 [info] Getting sessions for all scopes...
2025-07-25 18:03:39.603 [info] Got 1 sessions for ...
2025-07-25 18:03:42.377 [info] Getting sessions for all scopes...
2025-07-25 18:03:42.377 [info] Got 1 sessions for ...
2025-07-25 18:03:44.932 [info] Getting sessions for all scopes...
2025-07-25 18:03:44.932 [info] Got 1 sessions for ...
2025-07-25 18:03:48.021 [info] Getting sessions for all scopes...
2025-07-25 18:03:48.021 [info] Got 1 sessions for ...
2025-07-25 18:03:56.388 [info] Getting sessions for all scopes...
2025-07-25 18:03:56.389 [info] Got 1 sessions for ...
2025-07-25 18:11:32.422 [info] Getting sessions for all scopes...
2025-07-25 18:11:32.422 [info] Got 1 sessions for ...
2025-07-25 18:11:36.620 [info] Getting sessions for all scopes...
2025-07-25 18:11:36.620 [info] Got 1 sessions for ...
