2025-07-27 23:54:34.587 [info] Reading sessions from keychain...
2025-07-27 23:54:34.587 [info] Got stored sessions!
2025-07-27 23:54:34.587 [info] Got 1 verified sessions.
2025-07-27 23:54:34.587 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.587 [info] Got 1 sessions for ...
2025-07-27 23:54:34.587 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.587 [info] Got 1 sessions for ...
2025-07-27 23:54:34.587 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.587 [info] Got 1 sessions for ...
2025-07-27 23:54:34.587 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.587 [info] Got 1 sessions for ...
2025-07-27 23:54:34.587 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.587 [info] Got 1 sessions for ...
2025-07-27 23:54:34.587 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.587 [info] Got 1 sessions for ...
2025-07-27 23:54:34.587 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.587 [info] Got 1 sessions for ...
2025-07-27 23:54:34.587 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.587 [info] Got 1 sessions for ...
2025-07-27 23:54:34.587 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.587 [info] Got 1 sessions for ...
2025-07-27 23:54:34.587 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.587 [info] Got 1 sessions for ...
2025-07-27 23:54:34.587 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.587 [info] Got 1 sessions for ...
2025-07-27 23:54:34.588 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.588 [info] Got 1 sessions for ...
2025-07-27 23:54:34.588 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.588 [info] Got 1 sessions for ...
2025-07-27 23:54:34.588 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.588 [info] Got 1 sessions for ...
2025-07-27 23:54:34.588 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.588 [info] Got 1 sessions for ...
2025-07-27 23:54:34.918 [info] Getting sessions for all scopes...
2025-07-27 23:54:34.918 [info] Got 1 sessions for ...
2025-07-27 23:54:35.069 [info] Getting sessions for all scopes...
2025-07-27 23:54:35.069 [info] Got 1 sessions for ...
2025-07-27 23:54:35.861 [info] Getting sessions for all scopes...
2025-07-27 23:54:35.861 [info] Got 1 sessions for ...
2025-07-27 23:54:35.862 [info] Getting sessions for all scopes...
2025-07-27 23:54:35.862 [info] Got 1 sessions for ...
2025-07-27 23:54:35.940 [info] Getting sessions for all scopes...
2025-07-27 23:54:35.940 [info] Got 1 sessions for ...
2025-07-27 23:54:36.039 [info] Getting sessions for read:user,repo,user:email...
2025-07-27 23:54:36.039 [info] Got 0 sessions for read:user,repo,user:email...
2025-07-27 23:54:36.150 [info] Getting sessions for read:user,repo,user:email,workflow...
2025-07-27 23:54:36.151 [info] Got 0 sessions for read:user,repo,user:email,workflow...
2025-07-27 23:54:36.290 [info] Getting sessions for read:user,repo,user:email...
2025-07-27 23:54:36.290 [info] Got 0 sessions for read:user,repo,user:email...
2025-07-27 23:54:36.533 [info] Getting sessions for all scopes...
2025-07-27 23:54:36.533 [info] Got 1 sessions for ...
2025-07-27 23:54:37.387 [info] Getting sessions for all scopes...
2025-07-27 23:54:37.387 [info] Got 1 sessions for ...
2025-07-27 23:54:37.387 [info] Getting sessions for all scopes...
2025-07-27 23:54:37.387 [info] Got 1 sessions for ...
2025-07-27 23:54:37.397 [info] Getting sessions for all scopes...
2025-07-27 23:54:37.397 [info] Got 1 sessions for ...
2025-07-27 23:54:37.476 [info] Getting sessions for all scopes...
2025-07-27 23:54:37.476 [info] Got 1 sessions for ...
